EAN/UPC,Material,BUn,Category,Key Word,Art Desc,Aisle Number,Side,Aisle Section
7680801116,785496,EA,Grocery Ambient,Meal Makers,Barilla Cut Macaroni,10,R,3
77460211003,677708,EA,Grocery Ambient,Meal Makers,GetSaucd Sauce Honey Garlic,10,R,8
77460221025,677700,EA,Grocery Ambient,Meal Makers,GetSaucd Sauce Hotiyaki,10,R,8
77745530604,841631,EA,Grocery Ambient,Meal Makers,Sunbrown Rice Calrose,10,L,7
77745534602,902552,EA,Grocery Ambient,Meal Makers,Nuworld Jasmine Rice Aromatic,10,L,6
77745534802,902512,EA,Grocery Ambient,Meal Makers,Nuworld Basmati Rice Aromatic,10,L,6
77745554202,902353,EA,Grocery Ambient,Meal Makers,Nuword Wild Rice ClassicBlend,10,L,6
77745554302,902381,EA,Grocery Ambient,Meal Makers,Nuworld Wild Rice Wholesome,10,L,6
78273300002,233994,EA,Grocery Ambient,Meal Makers,TastyBit Madras Lentils,10,L,2
78273300026,347916,EA,Grocery Ambient,Meal Makers,TastyBit Channa Masala,10,L,2
78273300034,655513,EA,Grocery Ambient,Meal Makers,TastyBit Masala Tikka Vegetabl,10,L,2
7889510002,539839,EA,Grocery Ambient,Cooking Ingredients,LeeKumK Sauce Oyster Old Brand,10,L,1
7889512639,556883,EA,Grocery Ambient,Cooking Ingredients,Lee Kum Kee Premium Soy Sauce,10,L,1
7889512878,539845,EA,Grocery Ambient,Cooking Ingredients,LeeKumK Soya Sauce Light,10,L,1
7889513018,283502,EA,Grocery Ambient,Cooking Ingredients,LeeKumKe Soy Sauce Lite Tastin,10,L,1
7889513523,266988,EA,Grocery Ambient,Cooking Ingredients,LeeKumK Oyster Sce Pnd Grn Lbl,10,L,1
7889514268,501143,EA,Grocery Ambient,Cooking Ingredients,LeeKumKe Sauce Garlic Hoisin,10,L,1
7889514269,387871,EA,Grocery Ambient,Meal Makers,LeeKumKe Sriracha Mayo,10,L,2
7889530002,539849,EA,Grocery Ambient,Cooking Ingredients,LeeKumK Panda Oyster Sauce,10,L,1
7889576002,539868,EA,Grocery Ambient,Cooking Ingredients,LeeKumK Sce Black Bean Garlic,10,L,2
7889577002,539870,EA,Grocery Ambient,Cooking Ingredients,LeeKumK Sauce Chili Garlic,10,L,2
7976325133,512357,EA,Grocery Ambient,Meal Makers,Jpns St Nama UDon Ndle,10,L,2
8.00E+11,473721,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Ditali,10,R,3
8.00E+11,200699,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Spaghetti,10,R,3
8.00E+11,200680,EA,Grocery Ambient,Meal Makers,Garofalo Linguine Pasta,10,R,3
8.00E+11,200689,EA,Grocery Ambient,Meal Makers,Garofalo Orzo Pasta,10,R,3
8.00E+11,292428,EA,Grocery Ambient,Meal Makers,Garofalo Elicoidali Pasta,10,R,3
8.00E+11,386000,EA,Grocery Ambient,Meal Makers,Garofalo Rigatoni Pasta,10,R,3
8.00E+11,200647,EA,Grocery Ambient,Meal Makers,Garofalo Cappelletti Pasta,10,R,3
8.00E+11,200667,EA,Grocery Ambient,Meal Makers,Garofalo Fusilli Pasta,10,R,3
8.00E+11,200704,EA,Grocery Ambient,Meal Makers,Garofalo Penne Zit Rigate,10,R,3
8.00E+11,200657,EA,Grocery Ambient,Meal Makers,Garofalo Farfalle Pasta,10,R,3
8.00E+11,200684,EA,Grocery Ambient,Meal Makers,Garofalo Mafalda Corta,10,R,3
8.00E+11,473727,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Radiatori,10,R,3
8.00E+11,200695,EA,Grocery Ambient,Meal Makers,Garofalo Pappardelle Pasta,10,R,3
8.00E+11,200607,EA,Grocery Ambient,Meal Makers,Garofalo Tagliatelle,10,R,3
8.00E+11,200662,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Fusilli Bucati,10,R,3
8.00E+11,473734,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Fusilli Primave,10,R,3
8.00E+11,200659,EA,Grocery Ambient,Meal Makers,Garofalo Fettucce Pasta,10,R,3
8.00E+11,200623,EA,Grocery Ambient,Meal Makers,Garofalo Fusilli WW,10,R,3
8.00E+11,355535,EA,Grocery Ambient,Meal Makers,Garofalo Potato Gnocchi,10,R,4
8.00E+11,957342,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Pot Gnocchi GF,10,R,5
8.00E+11,942938,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Spaghetti GF,10,R,3
8.00E+11,942937,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Penne GlutenFr,10,R,3
8.00E+11,942899,EA,Grocery Ambient,Meal Makers,Garofalo Pasta Casarecce GF,10,R,3
8.00E+11,942919,EA,Grocery Ambient,Meal Makers,Garofalo Pasta MafaldaCorta GF,10,R,3
8.00E+11,957293,EA,Grocery Ambient,Cooking Ingredients,Garofalo Olive Oil Extra Virgn,10,L,17
80009100115,839790,EA,Grocery Ambient,Canned Food and Ready to Eat,Rega Tomato San Marzano DOP,10,R,5
80717617205,749237,EA,Grocery Ambient,Meal Makers,CJ Korean BBQ Sauce Ch & Pork,10,L,2
80717617309,749236,EA,Grocery Ambient,Meal Makers,CJ BBQ Sauce Korean Kalbi Orig,10,L,2
80919900039,460809,EA,Grocery Ambient,Meal Makers,CTF Rice Brown Jasmine,10,L,7
81351502003,546861,EA,Grocery Ambient,Meal Makers,Geovita Wht Barley Oat Blnd,10,L,7
81627702100,688089,EA,Grocery Ambient,Meal Makers,BlueTop Street Sce Creamy 255g,10,R,8
81627702103,688096,EA,Grocery Ambient,Meal Makers,BlueTop Sce Honey Chptl 255g,10,R,8
81627702104,688101,EA,Grocery Ambient,Meal Makers,BlueTop Sce Garlic Hatch 255g,10,R,8
8165208025,422370,EA,Grocery Ambient,Meal Makers,Assi Vermicelli Sweet Potato,10,L,3
81915301015,351075,EA,Grocery Ambient,Meal Makers,RfusTeag BBQ Sce Honey Swt,10,R,8
81915301016,351066,EA,Grocery Ambient,Meal Makers,RfusTeag BBQ Sce Touch of Heat,10,R,8
81915301017,351073,EA,Grocery Ambient,Meal Makers,RfusTeag BBQ Sce Blazin'Hot,10,R,8
81915301018,351071,EA,Grocery Ambient,Meal Makers,RfusTeag BBQ Sce Whiskey Mpl,10,R,8
83396800002,411039,EA,Grocery Ambient,Cooking Ingredients,Matt & Steves Extreme Beans,10,R,6
83396800006,308899,EA,Grocery Ambient,Cooking Ingredients,Mat&Stev ExtrmBean Garlic&Dill,10,R,6
83396800008,395235,EA,Grocery Ambient,Cooking Ingredients,ExtrmBea Sweet & Savoury,10,R,6
83396800045,641499,EA,Grocery Ambient,Cooking Ingredients,Asparago Asparagus Garlic&Dill,10,R,6
83396800074,579832,EA,Grocery Ambient,Cooking Ingredients,MattStve Ext Pckl Spears Gar&D,10,R,6
85168100809,482489,EA,Grocery Ambient,Confectionery,Moringa Hi-Chew Bag Yogurt Mix,10,L,3
85168100812,401923,EA,Grocery Ambient,Confectionery,Morinaga HI-CHEW Sweet & Sour,10,L,3
